Redshift g-r g-i g-z g-w1 g-w2 r-i r-z r-w1 r-w2 i-z i-w1 i-w2 z-w1 z-w2 w1-w2
0.12 -0.1766881044633628 -0.033668931425424375 -0.25428255876299133 4.949179626901598 6.0350237589638684 0.14301917303793843 -0.07759445429962852 5.125867731364961 6.211711863427231 -0.22061362733756695 4.982848558327023 6.068692690389293 5.2034621856645895 6.28930631772686 1.0858441320622703
0.13 -0.1896576517850761 -0.007917701221046514 -0.24996719801063705 4.941261443973314 6.030008313215427 0.18173995056402958 -0.06030954622556095 5.13091909575839 6.2196659650005035 -0.24204949678959053 4.9491791451943605 6.037926014436474 5.191228641983951 6.2799755112260645 1.0887468692421134
0.14 -0.19360504705502635 0.00694178114389743 -0.240525425958932 4.937372628247044 6.0278310944162925 0.20054682819892378 -0.04692037890390566 5.13097767530207 6.221436141471319 -0.24746720710282943 4.930430847103146 6.020889313272395 5.177898054205976 6.2683565203752245 1.090458466169249
0.15 -0.18184742023270672 0.023713294346247693 -0.23149851119875464 4.932540758939268 6.027654103736456 0.20556071457895442 -0.04965109096604792 5.114388179171975 6.209501523969163 -0.25521180554500233 4.9088274645930206 6.003940809390208 5.164039270138023 6.259152614935211 1.0951133447971877
0.16 -0.1666980484808498 0.032887630008179514 -0.22621288705057196 4.924844736865396 6.023122863010315 0.1995856784890293 -0.05951483856972217 5.091542785346245 6.189820911491164 -0.2591005170587515 4.891957106857216 5.990235233002135 5.1510576239159676 6.249335750060887 1.098278126144919
0.17 -0.14954457918820907 0.03494633510775458 -0.2213890120234865 4.913409855701282 6.015331214571145 0.18449091429596365 -0.07184443283527742 5.062954434889491 6.164875793759354 -0.25633534713124106 4.878463520593527 5.98038487946339 5.1347988677247685 6.236720226594631 1.1019213588698626
0.18 -0.1282386307677328 0.038734498885421687 -0.2192307941815521 4.901810622727734 6.007013285895795 0.16697312965315447 -0.09099216341381933 5.030049253495466 6.1352519166635275 -0.2579652930669738 4.863076123842312 5.968278787010373 5.121041416909286 6.226244080077347 1.1052026631680612
0.19 -0.1131151573752831 0.038432847257325875 -0.22291749836719532 4.883636683397775 5.992130705327536 0.15154800463260898 -0.10980234099191222 4.996751840773058 6.105245862702819 -0.2613503456245212 4.845203836140449 5.9536978580702105 5.10655418176497 6.215048203694732 1.1084940219297614
0.2 -0.10282693602167114 0.0348982026120197 -0.22695460272461432 4.863283924902582 5.975458815333056 0.13772513863369085 -0.12412766670294317 4.966110860924253 6.078285751354727 -0.261852805336634 4.828385722290562 5.940560612721036 5.090238527627196 6.20241341805767 1.1121748904304738
0.21 -0.09540264421807265 0.02826020525942141 -0.23242086709588605 4.843001584276045 5.958553286380258 0.12366284947749406 -0.1370182228778134 4.938404228494118 6.053955930598331 -0.26068107235530746 4.814741379016624 5.930293081120837 5.0754224513719315 6.190974153476144 1.115551702104213
0.22 -0.09087028493550875 0.024991480478306016 -0.23830721860867143 4.821365259191051 5.940191045334988 0.11586176541381477 -0.14743693367316268 4.91223554412656 6.0310613302704965 -0.26329869908697745 4.796373778712745 5.915199564856682 5.059672477799722 6.178498263943659 1.1188257861439368
0.23 -0.09269273957436752 0.016680878937020083 -0.24398565299589237 4.798781297754967 5.921227034612489 0.1093736185113876 -0.15129291342152484 4.891474037329335 6.013919774186856 -0.26066653193291245 4.782100418817947 5.904546155675469 5.04276695075086 6.165212687608381 1.1224457368575216
